"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2010",48589.523,
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2011",50935.136,
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2012",52544.292,
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2013",56356.42,
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2014",58050.059,
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2015",59697.374,
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2017",61704.79,
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2018",62310.43,
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2019",64280.26,
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2020",66436.389,
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2021",68607.626,
"AUS","TEACHERSALARY","PRY_START","USD","A","2017",41798.387,
"AUS","TEACHERSALARY","PRY_START","USD","A","2018",44286.526,
"AUS","TEACHERSALARY","PRY_START","USD","A","2019",45216.448,
"AUS","TEACHERSALARY","PRY_START","USD","A","2020",45682.826,
"AUS","TEACHERSALARY","PRY_START","USD","A","2021",46988.4,
"AUS","TEACHERSALARY","PRY_TOP","USD","A","2017",59568.043,
"AUS","TEACHERSALARY","PRY_TOP","USD","A","2018",65420.746,
"AUS","TEACHERSALARY","PRY_TOP","USD","A","2019",66977.507,
"AUS","TEACHERSALARY","PRY_TOP","USD","A","2020",67081.282,
"AUS","TEACHERSALARY","PRY_TOP","USD","A","2021",74335.14,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2010",41299.843,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2011",42038.844,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2012",42953.632,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2013",43663.011,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2014",44379.69,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2015",45075.186,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2016",49904.383,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2017",51062.9729999999,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2018",52130.764,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2019",53305.363,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2020",56553.25,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2021",57637.638,
"AUT","TEACHERSALARY","PRY_START","USD","A","2017",40548.155,
"AUT","TEACHERSALARY","PRY_START","USD","A","2018",42701.927,
"AUT","TEACHERSALARY","PRY_START","USD","A","2019",45028.96,
"AUT","TEACHERSALARY","PRY_START","USD","A","2020",45892.477,
"AUT","TEACHERSALARY","PRY_START","USD","A","2021",47995.254,
"AUT","TEACHERSALARY","PRY_TOP","USD","A","2017",73501.362,
"AUT","TEACHERSALARY","PRY_TOP","USD","A","2018",76160.482,
"AUT","TEACHERSALARY","PRY_TOP","USD","A","2019",79202.335,
"AUT","TEACHERSALARY","PRY_TOP","USD","A","2020",80386.024,
"AUT","TEACHERSALARY","PRY_TOP","USD","A","2021",83891.659,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2013",66580.67,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2014",64778.47,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2015",65774.283,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2016",66441.558,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2017",68286.94,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2018",69659.752,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2019",69891.579,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2020",70352.799,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2021",70331.063,
"CAN","TEACHERSALARY","PRY_START","USD","A","2017",39221.952,
"CAN","TEACHERSALARY","PRY_START","USD","A","2018",39936.929,
"CAN","TEACHERSALARY","PRY_START","USD","A","2019",40504.246,
"CAN","TEACHERSALARY","PRY_START","USD","A","2020",40304.801,
"CAN","TEACHERSALARY","PRY_START","USD","A","2021",40721.503,
"CAN","TEACHERSALARY","PRY_TOP","USD","A","2017",65473.842,
"CAN","TEACHERSALARY","PRY_TOP","USD","A","2018",67301.229,
"CAN","TEACHERSALARY","PRY_TOP","USD","A","2019",70697.524,
"CAN","TEACHERSALARY","PRY_TOP","USD","A","2020",71663.569,
"CAN","TEACHERSALARY","PRY_TOP","USD","A","2021",70331.063,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2013",18383.541,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2014",18856.368,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2015",19361.859,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2016",19895.078,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2017",21557.685,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2018",24093.694,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2019",25842.287,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2020",26993.939,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2021",28453.071,
"CZE","TEACHERSALARY","PRY_START","USD","A","2017",18943.864,
"CZE","TEACHERSALARY","PRY_START","USD","A","2018",21854.295,
"CZE","TEACHERSALARY","PRY_START","USD","A","2019",23756.811,
"CZE","TEACHERSALARY","PRY_START","USD","A","2020",25388.869,
"CZE","TEACHERSALARY","PRY_START","USD","A","2021",25615.87,
"CZE","TEACHERSALARY","PRY_TOP","USD","A","2017",24784.896,
"CZE","TEACHERSALARY","PRY_TOP","USD","A","2018",28678.364,
"CZE","TEACHERSALARY","PRY_TOP","USD","A","2019",31159.296,
"CZE","TEACHERSALARY","PRY_TOP","USD","A","2020",33259.419,
"CZE","TEACHERSALARY","PRY_TOP","USD","A","2021",33560.032,
"DNK","TEACHERSALARY","PRY15YREXP","USD","A","2010",50912.989,
"DNK","TEACHERSALARY","PRY15YREXP","USD","A","2011",51201.411,
