SCHOOL,ENG,ENG-G,ENG-GL,MAT,MAT-G,MAT-GL,SCI,,,TPE,LET,MIN,ECO
AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION,85,70,65,80,75,64,76,,,695,A,91.5,60.8
CORAL REEF MONTESSORI ACADEMY CHARTER SCHOOL,64,58,46,39,58,49,40,,,470,C,89.3,55.9
EUGENIA B. THOMAS K-8 CENTER,66,66,55,66,71,73,52,,,605,A,96.5,51.5
SUMMERVILLE ADVANTAGE ACADEMY,43,62,59,44,71,76,29,,,384,B,98.6,83.5
MANDARIN LAKES K-8 ACADEMY,31,57,57,25,48,49,26,,,415,C,97.5,91
LENORA BRAYNON SMITH ELEMENTARY,29,59,61,42,74,68,29,,,362,C,98.6,89.4
BOB GRAHAM EDUCATION CENTER,67,68,59,65,73,67,51,,,609,A,97.2,58.7
NORMAN S. EDELCUP/SUNNY ISLES BEACH K-8,72,65,56,79,78,76,62,,,656,A,42.2,40.5
MATER ACADEMY,70,72,56,71,67,59,62,,,457,A,99.5,87.8
ARCOLA LAKE ELEMENTARY SCHOOL,43,52,57,48,47,63,27,,,337,C,98.8,95.9
MIAMI COMMUNITY CHARTER SCHOOL,37,56,60,42,67,78,17,,,357,C,99.4,95.9
MAYA ANGELOU ELEMENTARY SCHOOL,45,68,55,52,70,62,41,,,393,B,98.4,76.8
AUBURNDALE ELEMENTARY SCHOOL,59,68,48,53,54,49,40,,,371,C,98.1,82.1
DR. ROLANDO ESPINOSA K-8 CENTER,53,62,46,56,76,63,42,,,546,B,95.2,45.4
NORMA BUTLER BOSSARD ELEMENTARY SCHOOL,76,74,60,70,62,55,62,,,459,A,96.1,70.5
AVOCADO ELEMENTARY SCHOOL,58,,,56,,,,,,114,B,95.2,92.9
BANYAN ELEMENTARY SCHOOL,79,75,50,74,67,44,73,,,462,A,99.7,81.3
DR. MANUEL C. BARREIRO ELEMENTARY SCHOOL,80,77,66,78,79,68,68,,,516,A,97.5,66.4
AVENTURA WATERWAYS K-8 CENTER,69,69,61,66,70,59,58,,,602,A,64.7,43.8
RUTH K. BROAD BAY HARBOR K-8 CENTER,80,72,61,84,81,74,68,,,694,A,61.7,39.6
ETHEL KOGER BECKHAM K-8 CENTER,87,77,75,82,73,74,71,,,711,A,98.7,73.5
BEL-AIRE ELEMENTARY SCHOOL,42,58,61,49,79,68,51,,,408,B,97.4,89.8
BENT TREE ELEMENTARY SCHOOL,73,78,68,84,91,88,70,,,552,A,97.8,75.3
GOULDS ELEMENTARY SCHOOL,57,72,67,54,76,74,58,,,458,A,98.4,88.3
MATER GARDENS ACADEMY,84,76,67,78,69,66,68,,,508,A,97.8,63
BISCAYNE BEACH ELEMENTARY SCHOOL,55,70,64,57,68,58,52,,,424,B,89.1,89.8
SOMERSET ACADEMY SILVER PALMS,73,61,49,71,66,63,70,,,604,A,96.6,83.6
SOMERSET ACADEMY CHARTER ELEMENTARY SCHOOL (SOUTH HOMESTEAD),66,73,68,64,66,63,47,,,447,A,94.7,73.5
ARCHCREEK ELEMENTARY SCHOOL,41,60,55,52,71,63,51,,,393,B,99.8,95.5
PINECREST ACADEMY (SOUTH CAMPUS),84,82,79,83,81,67,72,,,548,A,98,66
BISCAYNE GARDENS ELEMENTARY,62,82,72,56,75,68,51,,,466,A,99.2,92.5
RENAISSANCE ELEMENTARY CHARTER SCHOOL,85,79,73,89,84,82,81,,,573,A,95.8,36.2
VAN E. BLANTON ELEMENTARY SCHOOL,46,57,50,48,52,39,28,,,320,C,100,88.7
ACADEMIR CHARTER SCHOOL WEST,82,68,54,83,69,61,82,,,499,A,98.6,59.9
ACADEMIR CHARTER SCHOOL EAST AT DORAL,55,57,43,63,66,65,53,,,402,B,97,43
BLUE LAKES ELEMENTARY SCHOOL,62,66,54,64,67,72,57,,,492,A,96.5,72.6
BOWMAN ASHE/DOOLIN K-8 ACADEMY,61,60,55,65,68,62,49,,,565,A,97.7,84.5
BRENTWOOD ELEMENTARY SCHOOL,40,63,57,52,84,83,39,,,418,B,99.3,92.6
JAMES H. BRIGHT ELEMENTARY/J.W. JOHNSON ELEMENTARY,52,68,77,61,84,75,58,,,475,A,99.7,92.8
ARCHIMEDEAN ACADEMY,91,87,81,92,80,74,81,,,586,A,91.3,38.8
SOMERSET ACADEMY,75,76,62,80,80,73,60,,,506,A,97.8,74.2
BROADMOOR ELEMENTARY SCHOOL,41,66,59,45,69,72,42,,,394,B,99.5,90.9
W. J. BRYAN ELEMENTARY,38,60,63,38,64,71,39,,,373,C,97,88.1
PINECREST PREPARATORY ACADEMY,78,72,55,79,76,60,54,,,474,A,99.1,63.2
BUNCHE PARK ELEMENTARY SCHOOL,46,65,56,48,69,75,51,,,410,B,99.6,96
CAMPBELL DRIVE K-8 CENTER,38,60,60,42,70,67,32,,,505,B,98.7,97.9
CARIBBEAN K-8 CENTER,43,53,45,47,68,72,32,,,519,B,97.3,93.6
CALUSA ELEMENTARY SCHOOL,86,83,75,88,74,66,85,,,557,A,94.4,55.2
CAROL CITY ELEMENTARY SCHOOL,37,71,72,40,62,50,43,,,375,B,99.4,91.7
GEORGE W. CARVER ELEMENTARY SCHOOL,79,67,59,88,81,68,63,,,505,A,84.8,44.9
SOMERSET PREPATORY ACADEMY - HOMESTEAD,50,58,52,43,37,50,29,,,319,C,92.5,83.5
MIAMI BEACH FEINBERG/FISHER K-8,39,55,39,41,63,58,30,,,484,B,92.7,90.7
DR. WILLIAM A. CHAPMAN ELEMENTARY SCHOOL,45,62,65,60,78,73,34,,,417,B,97,92.6
CITRUS GROVE ELEMENTARY SCHOOL,37,62,68,42,63,65,31,,,368,C,98.3,94.8
CLAUDE PEPPER ELEMENTARY SCHOOL,77,83,58,78,85,77,73,,,531,A,96.7,71.3
COCONUT GROVE ELEMENTARY SCHOOL,87,78,70,83,81,68,88,,,555,A,63.2,25.3
COLONIAL DRIVE ELEMENTARY SCHOOL,54,,,53,74,82,66,,,329,A,99.3,90.6
COMSTOCK ELEMENTARY SCHOOL,31,53,42,36,60,45,24,,,291,C,99.1,87
AVENTURA CITY OF EXCELLENCE SCHOOL,81,65,55,87,79,76,68,,,683,A,48.2,11.7
CORAL GABLES PREPARATORY ACADEMY,79,82,76,77,80,81,79,,,712,A,84.7,44.2
TRUE NORTH CLASSICAL ACADEMY,90,67,70,94,81,80,87,,,762,A,84.5,26.2
CORAL PARK ELEMENTARY SCHOOL,72,70,56,71,69,50,58,,,446,A,98.8,74.9
TRUE NORTH CLASSICAL ACADEMY AT DADELAND,91,81,79,95,88,91,90,,,615,A,80.1,22.6
THE CHARTER SCHOOL AT WATERSTONE,57,58,44,50,58,54,56,,,377,B,96,75.2
HIGHLY INQUISITIVE AND VERSATILE EDUCATION (HIVE) PREPARATORY SCHOOL,80,69,58,84,85,81,85,,,731,A,98.5,79.5
ACADEMIR CHARTER SCHOOL PREPARATORY,62,56,48,67,65,62,67,,,580,A,98.5,83.3
MATER ACADEMY OF INTERNATIONAL STUDIES,53,67,64,54,76,74,42,,,430,B,99.4,95.1
YOUTH CO-OP CHARTER SCHOOL,55,60,48,48,72,66,44,,,508,B,98.9,83.9
CORAL REEF ELEMENTARY SCHOOL,83,71,56,83,72,64,69,,,498,A,79.7,36.4
CORAL TERRACE ELEMENTARY SCHOOL,64,80,60,69,83,79,57,,,492,A,97.8,96.4
CORAL WAY K-8 CENTER,67,73,62,61,70,63,64,,,608,A,94.3,83.1
CRESTVIEW ELEMENTARY SCHOOL,61,69,71,77,89,76,71,,,514,A,98.9,91.2
CUTLER RIDGE ELEMENTARY SCHOOL,51,62,63,55,84,79,34,,,428,B,93.6,83.5
CYPRESS K-8 CENTER,63,67,55,59,70,74,68,,,600,A,98.5,86.5
DEVON AIRE K-8 CENTER,70,62,44,70,74,64,53,,,591,A,92.6,56.4
FREDERICK R. DOUGLASS ELEMENTARY,29,51,36,23,44,29,41,,,253,D,98.6,89.2
MARJORY STONEMAN DOUGLAS ELEM,70,79,64,78,88,84,69,,,532,A,98.8,77.4
CHARLES R DREW K-8 CENTER,25,40,38,34,52,58,27,,,423,C,99.3,97.3
PAUL LAURENCE DUNBAR K-8 CENTER,38,62,39,39,66,54,44,,,472,C,99.4,93.5
JOHN G. DUPUIS ELEMENTARY SCHOOL,67,65,61,64,62,61,61,,,441,A,99.1,91
AMELIA EARHART ELEMENTARY SCHOOL,55,68,63,51,63,65,39,,,404,B,98.1,93
EARLINGTON HEIGHTS ELEMENTARY SCHOOL,48,59,62,72,81,73,43,,,438,A,99,93.9
EDISON PARK K-8 CENTER,42,60,52,53,72,65,50,,,545,B,99.5,92
EMERSON ELEMENTARY SCHOOL,79,84,75,77,65,50,56,,,486,A,98.5,76.5
LILLIE C. EVANS K-8 CENTER,32,49,56,47,64,57,19,,,478,C,99.7,94.8
CHRISTINA M. EVE ELEMENTARY SCHOOL,80,80,84,75,78,64,58,,,519,A,96.2,62.6
EVERGLADES K-8 CENTER,62,60,51,56,67,57,52,,,560,A,98.7,78.9
DAVID FAIRCHILD ELEMENTARY SCHOOL,79,76,58,76,68,74,66,,,497,A,81.3,33.3
FAIRLAWN ELEMENTARY SCHOOL,58,69,59,53,57,39,41,,,376,B,99.4,85.9
DANTE B. FASCELL ELEMENTARY SCHOOL,80,89,92,79,89,84,73,,,586,A,97.4,82.7
